location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Denmark,2021-06-25,60-69,95.46,82.02
Denmark,2021-06-25,70-79,99.25,97.8
Denmark,2021-06-25,80+,100.61,100.25
Denmark,2021-07-02,18-24,58.08,6.69
Denmark,2021-07-02,25-49,45.04,13.6
Denmark,2021-07-02,50-59,91.2,51.96
Denmark,2021-07-02,60-69,95.67,90.02
Denmark,2021-07-02,70-79,99.33,98.28
Denmark,2021-07-02,80+,100.67,100.49
Denmark,2021-07-09,18-24,66.45,8.08
Denmark,2021-07-09,25-49,56.57,16.23
Denmark,2021-07-09,50-59,91.84,70.49
Denmark,2021-07-09,60-69,95.94,93.24
Denmark,2021-07-09,70-79,99.43,98.66
Denmark,2021-07-09,80+,100.73,100.66
Estonia,2021-01-01,18-24,0.01,0.0
Estonia,2021-01-01,25-49,0.02,0.0
Estonia,2021-01-01,50-59,0.03,0.0
Estonia,2021-01-01,60-69,0.02,0.0
Estonia,2021-01-01,70-79,0.0,0.0
Estonia,2021-01-01,80+,0.0,0.0
Estonia,2021-01-08,18-24,0.6,0.0
Estonia,2021-01-08,25-49,1.08,0.0
Estonia,2021-01-08,50-59,1.51,0.0
Estonia,2021-01-08,60-69,1.27,0.0
Estonia,2021-01-08,70-79,0.53,0.0
Estonia,2021-01-08,80+,0.22,0.0
Estonia,2021-01-15,18-24,0.93,0.01
Estonia,2021-01-15,25-49,1.57,0.01
Estonia,2021-01-15,50-59,2.34,0.02
Estonia,2021-01-15,60-69,2.12,0.02
Estonia,2021-01-15,70-79,1.15,0.0
Estonia,2021-01-15,80+,1.59,0.05
Estonia,2021-01-22,18-24,1.08,0.11
Estonia,2021-01-22,25-49,1.84,0.26
Estonia,2021-01-22,50-59,2.87,0.36
Estonia,2021-01-22,60-69,2.69,0.29
Estonia,2021-01-22,70-79,1.78,0.11
Estonia,2021-01-22,80+,3.57,0.12
Estonia,2021-01-29,18-24,1.26,0.56
Estonia,2021-01-29,25-49,2.13,1.03
Estonia,2021-01-29,50-59,3.41,1.47
Estonia,2021-01-29,60-69,3.17,1.25
Estonia,2021-01-29,70-79,2.27,0.53
Estonia,2021-01-29,80+,4.68,0.29
Estonia,2021-02-05,18-24,1.52,0.9
Estonia,2021-02-05,25-49,2.54,1.54
Estonia,2021-02-05,50-59,4.09,2.34
Estonia,2021-02-05,60-69,3.79,2.15
Estonia,2021-02-05,70-79,3.31,1.17
Estonia,2021-02-05,80+,7.48,1.64
Estonia,2021-02-12,18-24,1.9,1.04
Estonia,2021-02-12,25-49,2.8,1.79
Estonia,2021-02-12,50-59,4.54,2.82
Estonia,2021-02-12,60-69,4.28,2.66
Estonia,2021-02-12,70-79,4.91,1.73
Estonia,2021-02-12,80+,14.44,3.32
Estonia,2021-02-19,18-24,2.22,1.22
Estonia,2021-02-19,25-49,3.64,2.09
Estonia,2021-02-19,50-59,6.19,3.34
Estonia,2021-02-19,60-69,5.88,3.1
Estonia,2021-02-19,70-79,7.15,2.13
Estonia,2021-02-19,80+,19.82,4.3
Estonia,2021-02-26,18-24,2.88,1.49
Estonia,2021-02-26,25-49,4.92,2.56
Estonia,2021-02-26,50-59,8.15,4.11
Estonia,2021-02-26,60-69,7.67,3.81
Estonia,2021-02-26,70-79,8.03,3.11
Estonia,2021-02-26,80+,23.16,7.03
Estonia,2021-03-05,18-24,3.93,1.92
Estonia,2021-03-05,25-49,6.42,2.87
Estonia,2021-03-05,50-59,11.07,4.62
Estonia,2021-03-05,60-69,11.32,4.37
Estonia,2021-03-05,70-79,9.57,4.63
Estonia,2021-03-05,80+,27.12,13.7
Estonia,2021-03-12,18-24,4.7,2.03
Estonia,2021-03-12,25-49,7.93,3.06
Estonia,2021-03-12,50-59,14.14,4.98
Estonia,2021-03-12,60-69,18.04,4.94
Estonia,2021-03-12,70-79,16.91,6.96
Estonia,2021-03-12,80+,32.31,19.33
Estonia,2021-03-19,18-24,5.73,2.15
Estonia,2021-03-19,25-49,9.34,3.19
Estonia,2021-03-19,50-59,16.66,5.17
Estonia,2021-03-19,60-69,21.59,5.19
Estonia,2021-03-19,70-79,24.2,8.0
Estonia,2021-03-19,80+,36.46,22.71
Estonia,2021-03-26,18-24,6.17,2.23
Estonia,2021-03-26,25-49,10.18,3.31
Estonia,2021-03-26,50-59,18.39,5.37
Estonia,2021-03-26,60-69,25.04,5.47
Estonia,2021-03-26,70-79,33.02,8.91
Estonia,2021-03-26,80+,41.83,25.31
Estonia,2021-04-02,18-24,6.66,2.31
Estonia,2021-04-02,25-49,11.23,3.44
Estonia,2021-04-02,50-59,21.39,5.66
Estonia,2021-04-02,60-69,31.17,6.12
Estonia,2021-04-02,70-79,40.99,11.95
Estonia,2021-04-02,80+,45.73,29.51
Estonia,2021-04-09,18-24,7.02,2.41
Estonia,2021-04-09,25-49,12.08,3.63
Estonia,2021-04-09,50-59,23.72,6.06
Estonia,2021-04-09,60-69,36.66,6.71
Estonia,2021-04-09,70-79,51.33,14.27
Estonia,2021-04-09,80+,50.76,31.65
Estonia,2021-04-16,18-24,7.39,2.64
Estonia,2021-04-16,25-49,13.0,4.37
Estonia,2021-04-16,50-59,26.31,7.61
Estonia,2021-04-16,60-69,42.1,8.47
Estonia,2021-04-16,70-79,59.08,15.81
Estonia,2021-04-16,80+,53.87,32.58
Estonia,2021-04-23,18-24,7.91,3.04
Estonia,2021-04-23,25-49,14.09,5.41
Estonia,2021-04-23,50-59,29.22,9.39
Estonia,2021-04-23,60-69,46.65,10.48
Estonia,2021-04-23,70-79,62.82,18.5
Estonia,2021-04-23,80+,55.59,33.87
Estonia,2021-04-30,18-24,8.86,4.16
Estonia,2021-04-30,25-49,15.8,7.01
Estonia,2021-04-30,50-59,33.75,12.41
Estonia,2021-04-30,60-69,50.91,14.51
Estonia,2021-04-30,70-79,65.61,22.49
Estonia,2021-04-30,80+,57.27,37.23
Estonia,2021-05-07,18-24,10.02,5.0
Estonia,2021-05-07,25-49,18.02,8.53
Estonia,2021-05-07,50-59,41.61,15.98
Estonia,2021-05-07,60-69,54.64,20.63
Estonia,2021-05-07,70-79,67.34,30.32
Estonia,2021-05-07,80+,58.38,42.14
Estonia,2021-05-14,18-24,11.2,5.48
Estonia,2021-05-14,25-49,20.7,9.51
Estonia,2021-05-14,50-59,46.78,17.9
Estonia,2021-05-14,60-69,56.88,23.72
Estonia,2021-05-14,70-79,68.3,35.31
Estonia,2021-05-14,80+,59.35,45.4
Estonia,2021-05-21,18-24,12.98,6.43
Estonia,2021-05-21,25-49,26.63,11.34
Estonia,2021-05-21,50-59,49.17,20.37
Estonia,2021-05-21,60-69,58.01,27.55
Estonia,2021-05-21,70-79,68.88,42.94
Estonia,2021-05-21,80+,60.04,50.19
Estonia,2021-05-28,18-24,19.96,8.62
Estonia,2021-05-28,25-49,31.1,13.44
Estonia,2021-05-28,50-59,50.58,23.68
Estonia,2021-05-28,60-69,58.84,32.8
Estonia,2021-05-28,70-79,69.45,50.26
Estonia,2021-05-28,80+,60.69,53.47
Estonia,2021-06-04,18-24,25.53,10.44
Estonia,2021-06-04,25-49,35.14,15.65
Estonia,2021-06-04,50-59,52.03,27.63
Estonia,2021-06-04,60-69,59.72,38.79
Estonia,2021-06-04,70-79,69.96,54.93
Estonia,2021-06-04,80+,61.19,55.38
Estonia,2021-06-11,18-24,29.96,12.88
Estonia,2021-06-11,25-49,38.13,18.77
Estonia,2021-06-11,50-59,53.34,35.0
Estonia,2021-06-11,60-69,60.56,45.68
Estonia,2021-06-11,70-79,70.4,59.67
Estonia,2021-06-11,80+,61.62,57.53
Estonia,2021-06-18,18-24,33.35,15.32
Estonia,2021-06-18,25-49,40.6,23.04
Estonia,2021-06-18,50-59,54.72,44.24
Estonia,2021-06-18,60-69,61.38,51.9
Estonia,2021-06-18,70-79,70.82,63.94
Estonia,2021-06-18,80+,61.97,59.12
Estonia,2021-06-25,18-24,34.68,17.03
Estonia,2021-06-25,25-49,41.6,25.12
Estonia,2021-06-25,50-59,55.28,47.46
Estonia,2021-06-25,60-69,61.69,54.84
Estonia,2021-06-25,70-79,70.94,66.06
Estonia,2021-06-25,80+,62.09,59.71
Estonia,2021-07-02,18-24,36.42,19.35
Estonia,2021-07-02,25-49,43.0,30.47
Estonia,2021-07-02,50-59,56.26,50.28
Estonia,2021-07-02,60-69,62.37,57.87
Estonia,2021-07-02,70-79,71.27,68.45
Estonia,2021-07-02,80+,62.35,60.52
Estonia,2021-07-09,18-24,38.32,24.55
Estonia,2021-07-09,25-49,44.62,34.35
Estonia,2021-07-09,50-59,57.48,51.82
Estonia,2021-07-09,60-69,63.2,59.05
Estonia,2021-07-09,70-79,71.69,69.24
Estonia,2021-07-09,80+,62.66,61.03
Finland,2021-01-01,18-24,0.0,0.0
Finland,2021-01-01,25-49,0.0,0.0
Finland,2021-01-01,50-59,0.0,0.0
Finland,2021-01-01,60-69,0.0,0.0
Finland,2021-01-01,70-79,0.0,0.0
Finland,2021-01-01,80+,0.0,0.0
Finland,2021-01-08,18-24,0.17,0.0
Finland,2021-01-08,25-49,0.71,0.0
Finland,2021-01-08,50-59,0.65,0.0
Finland,2021-01-08,60-69,0.29,0.0
Finland,2021-01-08,70-79,0.08,0.0
Finland,2021-01-08,80+,0.34,0.0
Finland,2021-01-15,18-24,0.48,0.0
Finland,2021-01-15,25-49,1.67,0.0
Finland,2021-01-15,50-59,1.78,0.0
Finland,2021-01-15,60-69,0.9,0.0
Finland,2021-01-15,70-79,0.5,0.0
Finland,2021-01-15,80+,2.79,0.0
Finland,2021-01-22,18-24,0.91,0.03
Finland,2021-01-22,25-49,2.51,0.18
Finland,2021-01-22,50-59,2.96,0.16
Finland,2021-01-22,60-69,1.67,0.06
Finland,2021-01-22,70-79,1.39,0.0
Finland,2021-01-22,80+,8.21,0.0
Finland,2021-01-29,18-24,1.21,0.15
Finland,2021-01-29,25-49,3.0,0.66
Finland,2021-01-29,50-59,3.68,0.61
Finland,2021-01-29,60-69,2.17,0.27
Finland,2021-01-29,70-79,2.15,0.06
Finland,2021-01-29,80+,14.17,0.27
Finland,2021-02-05,18-24,1.35,0.4
Finland,2021-02-05,25-49,3.22,1.5
Finland,2021-02-05,50-59,3.98,1.58
Finland,2021-02-05,60-69,2.39,0.79
Finland,2021-02-05,70-79,2.49,0.35
Finland,2021-02-05,80+,18.09,1.89
Finland,2021-02-12,18-24,1.46,0.54
Finland,2021-02-12,25-49,3.43,1.84
Finland,2021-02-12,50-59,4.29,2.03
Finland,2021-02-12,60-69,2.91,1.06
Finland,2021-02-12,70-79,3.26,0.56
Finland,2021-02-12,80+,26.09,3.05
Finland,2021-02-19,18-24,1.64,0.58
Finland,2021-02-19,25-49,3.76,1.93
Finland,2021-02-19,50-59,4.93,2.16
Finland,2021-02-19,60-69,4.65,1.15
Finland,2021-02-19,70-79,4.89,0.66
Finland,2021-02-19,80+,40.58,3.84
Finland,2021-02-26,18-24,1.77,0.61
Finland,2021-02-26,25-49,4.06,2.0
Finland,2021-02-26,50-59,5.95,2.26
Finland,2021-02-26,60-69,7.61,1.22
Finland,2021-02-26,70-79,7.39,0.77
Finland,2021-02-26,80+,55.19,5.56
Finland,2021-03-05,18-24,1.92,0.62
Finland,2021-03-05,25-49,4.39,2.02
Finland,2021-03-05,50-59,7.48,2.28
Finland,2021-03-05,60-69,11.1,1.24
Finland,2021-03-05,70-79,12.18,0.82
Finland,2021-03-05,80+,68.39,6.33
Finland,2021-03-12,18-24,2.11,0.63
Finland,2021-03-12,25-49,4.9,2.03
Finland,2021-03-12,50-59,9.49,2.29
Finland,2021-03-12,60-69,14.25,1.25
Finland,2021-03-12,70-79,20.25,0.82
Finland,2021-03-12,80+,78.31,6.46
Finland,2021-03-19,18-24,2.3,0.64
Finland,2021-03-19,25-49,5.38,2.05
Finland,2021-03-19,50-59,11.07,2.32
Finland,2021-03-19,60-69,16.9,1.27
Finland,2021-03-19,70-79,32.66,0.85
Finland,2021-03-19,80+,83.69,6.57
Finland,2021-03-26,18-24,2.34,0.65
Finland,2021-03-26,25-49,5.48,2.08
Finland,2021-03-26,50-59,11.33,2.35
Finland,2021-03-26,60-69,17.83,1.29
Finland,2021-03-26,70-79,48.59,0.86
Finland,2021-03-26,80+,86.7,6.62
Finland,2021-04-02,18-24,2.46,0.66
Finland,2021-04-02,25-49,5.73,2.09
Finland,2021-04-02,50-59,11.83,2.37
Finland,2021-04-02,60-69,20.24,1.31
Finland,2021-04-02,70-79,66.6,0.89
Finland,2021-04-02,80+,88.36,6.74
Finland,2021-04-09,18-24,2.85,0.71
Finland,2021-04-09,25-49,6.59,2.18
Finland,2021-04-09,50-59,13.6,2.52
Finland,2021-04-09,60-69,26.82,1.4
Finland,2021-04-09,70-79,82.12,1.03
Finland,2021-04-09,80+,89.43,7.45
Finland,2021-04-16,18-24,3.75,0.93
Finland,2021-04-16,25-49,8.49,2.61
Finland,2021-04-16,50-59,17.38,3.15
Finland,2021-04-16,60-69,39.52,1.84
Finland,2021-04-16,70-79,90.24,1.58
Finland,2021-04-16,80+,90.46,11.06
Finland,2021-04-23,18-24,4.75,1.15
Finland,2021-04-23,25-49,10.46,2.97
Finland,2021-04-23,50-59,23.06,3.66
Finland,2021-04-23,60-69,52.86,2.24
Finland,2021-04-23,70-79,92.74,2.17
Finland,2021-04-23,80+,91.04,15.18
Finland,2021-04-30,18-24,5.87,1.25
Finland,2021-04-30,25-49,12.27,3.13
Finland,2021-04-30,50-59,32.62,3.91
Finland,2021-04-30,60-69,64.53,2.45
Finland,2021-04-30,70-79,93.82,2.59
Finland,2021-04-30,80+,91.36,17.88
Finland,2021-05-07,18-24,6.72,1.35
Finland,2021-05-07,25-49,14.11,3.32
Finland,2021-05-07,50-59,46.45,4.21
Finland,2021-05-07,60-69,73.45,3.01
Finland,2021-05-07,70-79,94.56,3.41
Finland,2021-05-07,80+,91.73,25.66
Finland,2021-05-14,18-24,7.32,1.48
Finland,2021-05-14,25-49,16.82,3.59
Finland,2021-05-14,50-59,57.19,4.77
Finland,2021-05-14,60-69,78.01,4.61
Finland,2021-05-14,70-79,95.09,4.9
Finland,2021-05-14,80+,92.1,39.29
Finland,2021-05-21,18-24,7.92,1.63
Finland,2021-05-21,25-49,21.46,3.9
Finland,2021-05-21,50-59,66.57,5.83
Finland,2021-05-21,60-69,81.47,7.73
Finland,2021-05-21,70-79,95.55,7.26
Finland,2021-05-21,80+,92.81,53.99
Finland,2021-05-28,18-24,8.48,1.8
Finland,2021-05-28,25-49,27.18,4.27
Finland,2021-05-28,50-59,72.75,7.35
Finland,2021-05-28,60-69,83.41,11.13
Finland,2021-05-28,70-79,95.96,11.93
Finland,2021-05-28,80+,93.19,67.15
Finland,2021-06-04,18-24,9.39,1.97
Finland,2021-06-04,25-49,34.73,4.77
Finland,2021-06-04,50-59,76.72,9.28
Finland,2021-06-04,60-69,84.78,14.37
Finland,2021-06-04,70-79,96.41,19.98
Finland,2021-06-04,80+,93.55,76.67
Finland,2021-06-11,18-24,11.64,2.17
Finland,2021-06-11,25-49,44.98,5.24
Finland,2021-06-11,50-59,79.42,10.76
Finland,2021-06-11,60-69,85.9,17.22
Finland,2021-06-11,70-79,96.83,31.94
Finland,2021-06-11,80+,93.75,82.25
Finland,2021-06-18,18-24,17.32,2.26
Finland,2021-06-18,25-49,55.3,5.41
Finland,2021-06-18,50-59,80.84,11.16
Finland,2021-06-18,60-69,86.58,18.64
Finland,2021-06-18,70-79,97.18,48.33
Finland,2021-06-18,80+,93.9,85.52
Finland,2021-06-25,18-24,24.64,2.43
Finland,2021-06-25,25-49,60.4,5.73
Finland,2021-06-25,50-59,81.49,11.8
Finland,2021-06-25,60-69,86.94,20.84
Finland,2021-06-25,70-79,97.43,65.24
Finland,2021-06-25,80+,93.99,87.09
Finland,2021-07-02,18-24,36.91,2.93
Finland,2021-07-02,25-49,64.64,6.81
Finland,2021-07-02,50-59,82.22,13.88
Finland,2021-07-02,60-69,87.44,27.56
Finland,2021-07-02,70-79,97.85,80.55
Finland,2021-07-02,80+,94.1,88.24
Finland,2021-07-09,18-24,45.5,3.78
Finland,2021-07-09,25-49,67.18,8.64
Finland,2021-07-09,50-59,82.9,18.09
Finland,2021-07-09,60-69,87.99,40.27
Finland,2021-07-09,70-79,98.24,88.47
Finland,2021-07-09,80+,94.22,89.02
Finland,2021-07-13,18-24,45.5,3.78
Finland,2021-07-13,25-49,67.18,8.64
Finland,2021-07-13,50-59,82.9,18.1
Finland,2021-07-13,60-69,87.99,40.28
Finland,2021-07-13,70-79,98.24,88.47
Finland,2021-07-13,80+,94.22,89.02
France,2021-01-08,18-24,0.01,0.0
France,2021-01-08,25-49,0.07,0.0
France,2021-01-08,50-59,0.44,0.0
France,2021-01-08,60-69,0.27,0.0
France,2021-01-08,70-79,0.16,0.0
France,2021-01-08,80+,0.4,0.0
France,2021-01-15,18-24,0.06,0.0
France,2021-01-15,25-49,0.36,0.0
France,2021-01-15,50-59,1.73,0.0
France,2021-01-15,60-69,1.02,0.0
France,2021-01-15,70-79,0.83,0.0
France,2021-01-15,80+,2.04,0.0
France,2021-01-22,18-24,0.12,0.0
France,2021-01-22,25-49,0.66,0.0
France,2021-01-22,50-59,2.7,0.0
France,2021-01-22,60-69,1.72,0.0
France,2021-01-22,70-79,4.03,0.0
France,2021-01-22,80+,8.83,0.01
France,2021-01-29,18-24,0.16,0.0
France,2021-01-29,25-49,0.84,0.03
France,2021-01-29,50-59,3.21,0.21
France,2021-01-29,60-69,2.2,0.12
France,2021-01-29,70-79,6.88,0.08
France,2021-01-29,80+,14.72,0.24
France,2021-02-05,18-24,0.19,0.03
France,2021-02-05,25-49,0.96,0.18
France,2021-02-05,50-59,3.5,0.99
France,2021-02-05,60-69,2.51,0.58
France,2021-02-05,70-79,9.02,0.43
France,2021-02-05,80+,18.82,1.3
France,2021-02-12,18-24,0.3,0.08
France,2021-02-12,25-49,1.25,0.45
France,2021-02-12,50-59,3.84,1.95
France,2021-02-12,60-69,2.87,1.19
France,2021-02-12,70-79,10.91,1.6
France,2021-02-12,80+,22.17,4.63
France,2021-02-19,18-24,0.45,0.12
France,2021-02-19,25-49,1.57,0.67
France,2021-02-19,50-59,4.16,2.67
France,2021-02-19,60-69,3.18,1.74
France,2021-02-19,70-79,12.13,4.27
France,2021-02-19,80+,24.35,9.86
France,2021-02-26,18-24,0.62,0.15
France,2021-02-26,25-49,1.9,0.81
France,2021-02-26,50-59,5.1,3.06
France,2021-02-26,60-69,4.14,2.12
France,2021-02-26,70-79,13.55,6.77
France,2021-02-26,80+,26.71,14.43
France,2021-03-05,18-24,0.86,0.18
France,2021-03-05,25-49,2.38,0.92
France,2021-03-05,50-59,7.04,3.34
France,2021-03-05,60-69,6.77,2.43
France,2021-03-05,70-79,17.98,8.83
France,2021-03-05,80+,31.94,18.01
France,2021-03-12,18-24,1.16,0.21
France,2021-03-12,25-49,3.01,1.03
France,2021-03-12,50-59,9.11,3.57
France,2021-03-12,60-69,10.47,2.73
France,2021-03-12,70-79,24.74,10.64
France,2021-03-12,80+,38.37,21.14
France,2021-03-19,18-24,1.32,0.23
France,2021-03-19,25-49,3.39,1.12
France,2021-03-19,50-59,10.16,3.73
France,2021-03-19,60-69,12.83,2.97
France,2021-03-19,70-79,31.31,11.82
France,2021-03-19,80+,45.76,23.22
France,2021-03-26,18-24,1.58,0.26
France,2021-03-26,25-49,4.01,1.2
France,2021-03-26,50-59,12.26,3.89
France,2021-03-26,60-69,18.0,3.23
France,2021-03-26,70-79,41.23,13.22
France,2021-03-26,80+,53.26,25.51
France,2021-04-02,18-24,2.0,0.29
France,2021-04-02,25-49,4.89,1.3
France,2021-04-02,50-59,14.42,4.14
France,2021-04-02,60-69,22.59,3.74
France,2021-04-02,70-79,50.67,16.33
France,2021-04-02,80+,58.53,30.21
France,2021-04-09,18-24,2.47,0.33
France,2021-04-09,25-49,5.82,1.46
France,2021-04-09,50-59,16.93,4.52
France,2021-04-09,60-69,27.65,4.57
France,2021-04-09,70-79,59.74,20.29
France,2021-04-09,80+,62.76,35.71
France,2021-04-16,18-24,2.96,0.44
France,2021-04-16,25-49,6.81,1.75
France,2021-04-16,50-59,20.48,5.13
France,2021-04-16,60-69,35.2,5.94
France,2021-04-16,70-79,67.39,25.7
France,2021-04-16,80+,66.52,42.55
France,2021-04-23,18-24,3.36,0.68
France,2021-04-23,25-49,7.7,2.3
France,2021-04-23,50-59,24.02,6.15
France,2021-04-23,60-69,43.35,7.84
France,2021-04-23,70-79,72.05,32.1
France,2021-04-23,80+,68.98,48.96
France,2021-04-30,18-24,3.92,1.0
France,2021-04-30,25-49,9.07,3.0
France,2021-04-30,50-59,28.58,7.44
France,2021-04-30,60-69,52.26,10.02
France,2021-04-30,70-79,76.37,38.74
France,2021-04-30,80+,71.34,53.04
France,2021-05-07,18-24,5.1,1.47
France,2021-05-07,25-49,12.12,3.99
France,2021-05-07,50-59,34.27,9.46
France,2021-05-07,60-69,59.13,13.2
France,2021-05-07,70-79,79.62,46.2
France,2021-05-07,80+,73.21,56.47
France,2021-05-14,18-24,8.19,1.81
France,2021-05-14,25-49,17.03,4.72
France,2021-05-14,50-59,42.68,11.33
France,2021-05-14,60-69,63.83,17.13
France,2021-05-14,70-79,81.89,51.67
France,2021-05-14,80+,74.54,58.87
France,2021-05-21,18-24,13.23,2.14
France,2021-05-21,25-49,23.38,5.38
France,2021-05-21,50-59,50.68,13.22
France,2021-05-21,60-69,67.79,20.83
France,2021-05-21,70-79,83.85,55.1
France,2021-05-21,80+,75.76,60.4
France,2021-05-28,18-24,18.6,2.51
France,2021-05-28,25-49,29.3,6.16
France,2021-05-28,50-59,56.15,15.61
France,2021-05-28,60-69,70.44,25.69
France,2021-05-28,70-79,85.21,59.03
France,2021-05-28,80+,76.66,62.03
France,2021-06-04,18-24,25.74,3.02
France,2021-06-04,25-49,36.09,7.25
France,2021-06-04,50-59,60.61,18.82
France,2021-06-04,60-69,72.78,33.28
France,2021-06-04,70-79,86.52,63.67
France,2021-06-04,80+,77.6,63.93
France,2021-06-11,18-24,32.72,3.81
France,2021-06-11,25-49,42.21,8.97
France,2021-06-11,50-59,64.12,22.91
France,2021-06-11,60-69,74.7,41.6
France,2021-06-11,70-79,87.64,68.17
France,2021-06-11,80+,78.4,65.95
France,2021-06-18,18-24,37.5,5.36
France,2021-06-18,25-49,46.2,12.37
France,2021-06-18,50-59,66.45,28.88
France,2021-06-18,60-69,76.06,49.49
France,2021-06-18,70-79,88.48,72.75
France,2021-06-18,80+,79.0,67.97
France,2021-06-25,18-24,41.18,9.02
France,2021-06-25,25-49,48.89,17.67
France,2021-06-25,50-59,68.12,37.25
France,2021-06-25,60-69,77.07,55.44
France,2021-06-25,70-79,89.13,76.07
France,2021-06-25,80+,79.48,69.58
France,2021-07-02,18-24,44.34,14.45
France,2021-07-02,25-49,51.15,24.03
France,2021-07-02,50-59,69.64,45.12
France,2021-07-02,60-69,78.02,60.51
France,2021-07-02,70-79,89.72,78.69
France,2021-07-02,80+,79.91,70.97
France,2021-07-09,18-24,46.95,19.42
France,2021-07-09,25-49,53.14,29.2
France,2021-07-09,50-59,70.99,50.13
France,2021-07-09,60-69,78.87,63.72
France,2021-07-09,70-79,90.24,80.29
France,2021-07-09,80+,80.28,71.9
Hungary,2021-01-01,18-24,0.0,0.0
Hungary,2021-01-01,25-49,0.02,0.0
Hungary,2021-01-01,50-59,0.02,0.0
Hungary,2021-01-01,60-69,0.01,0.0
Hungary,2021-01-01,70-79,0.0,0.0
Hungary,2021-01-01,80+,0.0,0.0
Hungary,2021-01-08,18-24,0.33,0.0
Hungary,2021-01-08,25-49,0.93,0.0
Hungary,2021-01-08,50-59,1.52,0.0
Hungary,2021-01-08,60-69,0.85,0.0
Hungary,2021-01-08,70-79,0.55,0.0
Hungary,2021-01-08,80+,0.64,0.0
Hungary,2021-01-15,18-24,0.79,0.0
Hungary,2021-01-15,25-49,1.55,0.01
Hungary,2021-01-15,50-59,2.51,0.01
Hungary,2021-01-15,60-69,1.45,0.01
Hungary,2021-01-15,70-79,0.96,0.0
Hungary,2021-01-15,80+,1.12,0.0
Hungary,2021-01-22,18-24,1.11,0.03
Hungary,2021-01-22,25-49,1.85,0.18
Hungary,2021-01-22,50-59,2.89,0.24
Hungary,2021-01-22,60-69,1.69,0.12
Hungary,2021-01-22,70-79,1.1,0.06
Hungary,2021-01-22,80+,1.18,0.02
Hungary,2021-01-29,18-24,1.59,0.3
Hungary,2021-01-29,25-49,2.62,0.89
Hungary,2021-01-29,50-59,4.27,1.47
Hungary,2021-01-29,60-69,2.74,0.83
Hungary,2021-01-29,70-79,2.32,0.54
Hungary,2021-01-29,80+,5.15,0.64
Hungary,2021-02-05,18-24,1.74,0.74
Hungary,2021-02-05,25-49,2.75,1.52
Hungary,2021-02-05,50-59,4.43,2.48
Hungary,2021-02-05,60-69,2.84,1.43
Hungary,2021-02-05,70-79,2.42,0.9
Hungary,2021-02-05,80+,13.09,0.88
Hungary,2021-02-12,18-24,1.78,1.08
Hungary,2021-02-12,25-49,2.92,1.83
Hungary,2021-02-12,50-59,5.74,2.9
Hungary,2021-02-12,60-69,2.98,1.69
Hungary,2021-02-12,70-79,3.28,1.12
Hungary,2021-02-12,80+,19.05,1.29
Hungary,2021-02-19,18-24,2.07,1.54
Hungary,2021-02-19,25-49,3.28,2.57
Hungary,2021-02-19,50-59,7.45,4.25
Hungary,2021-02-19,60-69,4.1,2.71
Hungary,2021-02-19,70-79,5.57,2.31
Hungary,2021-02-19,80+,24.96,5.11
Hungary,2021-02-26,18-24,2.2,1.7
Hungary,2021-02-26,25-49,3.86,2.72
Hungary,2021-02-26,50-59,9.91,4.46
Hungary,2021-02-26,60-69,9.54,2.86
Hungary,2021-02-26,70-79,16.67,2.49
Hungary,2021-02-26,80+,34.57,10.57
Hungary,2021-03-05,18-24,2.34,1.72
Hungary,2021-03-05,25-49,4.2,2.76
Hungary,2021-03-05,50-59,11.49,4.54
Hungary,2021-03-05,60-69,17.44,3.07
Hungary,2021-03-05,70-79,33.53,3.48
Hungary,2021-03-05,80+,44.11,18.87
Hungary,2021-03-12,18-24,2.9,1.98
Hungary,2021-03-12,25-49,5.77,3.04
Hungary,2021-03-12,50-59,15.56,5.98
Hungary,2021-03-12,60-69,24.93,4.19
Hungary,2021-03-12,70-79,45.41,5.77
Hungary,2021-03-12,80+,51.13,24.65
Hungary,2021-03-19,18-24,3.43,2.05
Hungary,2021-03-19,25-49,6.65,3.31
Hungary,2021-03-19,50-59,16.92,7.47
Hungary,2021-03-19,60-69,31.94,4.82
Hungary,2021-03-19,70-79,55.16,8.17
Hungary,2021-03-19,80+,56.34,29.97
Hungary,2021-03-26,18-24,3.92,2.16
Hungary,2021-03-26,25-49,7.74,3.79
Hungary,2021-03-26,50-59,19.18,9.7
Hungary,2021-03-26,60-69,43.78,9.81
Hungary,2021-03-26,70-79,65.44,17.16
Hungary,2021-03-26,80+,60.24,34.52
Hungary,2021-04-02,18-24,5.09,2.22
Hungary,2021-04-02,25-49,11.57,4.08
Hungary,2021-04-02,50-59,28.29,10.43
Hungary,2021-04-02,60-69,53.17,16.2
Hungary,2021-04-02,70-79,71.43,28.82
Hungary,2021-04-02,80+,63.39,39.52
Hungary,2021-04-09,18-24,8.42,2.64
Hungary,2021-04-09,25-49,19.54,4.78
Hungary,2021-04-09,50-59,39.79,11.63
Hungary,2021-04-09,60-69,58.32,24.8
Hungary,2021-04-09,70-79,73.73,42.19
Hungary,2021-04-09,80+,64.84,47.0
Hungary,2021-04-16,18-24,11.49,2.99
Hungary,2021-04-16,25-49,25.04,5.81
Hungary,2021-04-16,50-59,45.05,13.0
Hungary,2021-04-16,60-69,62.25,30.04
